Student_ID,Name,Gender,Age,English,Hindi,Maths,Science,Computer,Attendance
101,Aditya,Male,24,85,92,78,88,95,92
102,Rohan,Male,23,72,68,85,79,88,87
103,Priya,Female,22,91,89,94,92,96,96
104,Neha,Female,21,78,84,76,81,89,90
105,Amit,Male,23,65,72,69,74,80,82
106,Sneha,Female,22,88,95,91,87,93,94
107,Rahul,Male,24,56,64,72,68,75,78
108,Pooja,Female,21,93,90,97,95,98,97
109,Vikas,Male,23,74,70,81,76,85,86
110,Anjali,Female,22,82,88,79,85,91,91
111,Karan,Male,24,69,75,73,70,78,80
112,Simran,Female,21,95,94,92,96,99,98
113,Manish,Male,23,61,67,58,65,72,76
114,Kavya,Female,22,87,91,89,90,94,93
115,Sachin,Male,24,79,73,84,82,87,89
